Total	S3	S4	S5	S6	S8
328	25.9168716	54.508797	18.2234896	26.934931	91.6131772
329	3.376194	25.745651	1.9335252	6.167368	12.988088
330	3.2363548	19.824608	3.2641228	9.2474312	21.016376
331	3.6880256	16.9419958	4.663146	5.3909786	21.9230616
333	2.5217524	20.3862574	2.3213392	7.8082342	22.6829704
336	3.4046496	18.0920762	3.2305448	7.0071554	19.7885376
337	4.1054108	22.0659812	3.503114	7.582167	20.7634704
338	20.6783982	72.1976542	18.70317	27.6403086	62.574236
339	3.465974	22.4657676	3.7710848	8.5947132	19.3205144
340	3.2112456	16.9548618	2.055336	8.2553684	33.8895064
341	2.9941934	22.9496832	3.0914466	9.441036	15.9828162
342	3.7244212	21.0303232	3.6828632	7.1705016	20.2495268
343	3.0088338	23.5675656	2.9470076	8.5901114	30.9627346
344	4.1270854	39.8488394	3.0099558	7.0071228	39.9982542
345	4.1293836	40.4398728	3.0748588	8.8356596	34.1013776
346	4.5397298	34.5406376	3.4534	9.1195508	21.6862088
348	19.6336952	45.1463232	15.7946612	26.8525698	48.0947548
350	4.222344	19.3570508	3.168283	8.3655156	20.9023706
351	4.9523548	23.3182304	3.4206064	9.1369084	20.133982
352	3.0978112	20.1965886	2.6462466	9.607034	23.5096956
354	3.282835	21.6995364	3.4939416	8.8052876	43.4376664
355	4.3420704	50.0337	2.9059296	8.3357488	19.8488362
356	2.795953	31.7306948	3.379788	6.731053	35.4746984
357	3.196555	22.9517754	3.9216768	6.5077186	21.5918912
358	19.8927986	55.3956844	15.05799	28.9799396	57.974833
360	3.4129954	26.8313468	2.7252184	6.5496836	16.0834866
362	3.9489738	33.5749282	4.0047144	4.5592008	23.0867548
363	3.1479552	95.9327412	2.775616	8.8941854	45.1148184
364	2.77263	33.5408612	3.909834	6.5594748	45.180236
365	4.2860466	51.200847	4.2363772	9.0177088	29.772846
367	4.5859494	41.0140814	4.5134172	8.4489998	33.4864562
368	2.9040928	44.6524784	2.338837	6.7444288	47.4332172
369	18.8229528	55.6543614	18.4198908	32.9409762	65.314424
370	5.1691392	50.7755512	4.1710536	9.2307582	49.933114
371	3.3879918	45.1115116	2.6273496	6.890686	22.6221052
372	2.9854854	26.1236496	3.143694	8.7389014	24.086606
374	3.1809488	44.5486206	3.3702184	7.1705844	44.0525328
375	4.0813576	50.0415248	3.7491396	9.1641976	78.8770212
376	3.589787	29.565357	3.170487	11.4642152	26.5523506
377	4.210653	25.6524752	4.319128	8.4356944	25.9606436
378	3.4820234	46.0037518	4.0864644	9.7278312	25.639344
379	22.551917	65.2297634	20.2950358	42.9101324	49.388343
382	2.9203186	64.4248692	2.934411	8.2769572	28.379193
383	4.5231904	41.5678274	3.6640696	8.784306	67.7544264
384	3.2447658	28.574344	2.3133596	7.8878264	25.0381306
385	3.4147226	27.0142366	4.2231406	7.9046374	36.9350272
387	2.9746582	45.4074696	2.31264	8.9790004	36.1091034
388	4.445835	32.194517	3.5640528	14.4342268	48.3256596
389	21.2042412	52.4367044	18.4532284	32.115196	70.6224922
390	3.4428894	30.9408688	3.4394596	9.681464	26.5024792
391	2.7978454	48.7260696	2.6109274	6.8752834	30.9686736
392	4.36893	50.0003386	3.7472448	8.72515	50.93198
393	3.1442622	43.5894504	3.922798	7.51008	59.5003664
395	3.1036428	25.4964902	4.7615352	7.9432374	25.9250594
396	2.7289606	47.7613562	2.8332754	5.9511174	36.8625134
397	3.5312422	19.4796394	4.2157486	6.5766768	34.9075682
398	3.9232396	37.2155084	3.8147808	9.9224918	53.0764384
399	19.0737932	60.3437322	20.0649966	31.0793666	60.5121684
400	5.906684	22.8691504	4.5975768	8.3439766	24.0669734
402	4.6048074	53.0920452	3.7307482	7.4907834	48.2579264
403	4.7373394	28.8045926	3.9320834	8.7693978	32.2717388
404	4.8235896	51.2124706	3.0882286	7.7168164	30.0500584
405	3.2081326	56.1342208	3.2572506	9.140212	53.1231184
406	4.174904	35.5134572	2.9753406	7.2571712	32.9025768
407	3.2340224	27.8106056	2.677875	7.9223428	28.237269
408	3.1893336	45.560485	2.2042274	5.5899054	29.8710554
409	4.7691418	21.2764624	3.742566	10.2468986	40.8039864
410	21.1841428	58.8688044	19.6901804	29.852417	161.5562314
411	3.4365004	27.8193608	2.7111538	8.861314	28.1816226
412	4.3939272	62.6526376	3.9020404	10.8503044	60.8645796
413	4.1237632	30.5954804	3.0272932	8.72409	32.5941944
414	2.756556	42.1200498	3.0605442	9.4791864	35.1645832
416	3.2087188	75.34433	2.5548966	8.0093114	58.3260666
418	3.2767388	31.2041378	2.627039	9.938494	33.1726492
419	3.693998	37.9434568	2.7851694	13.7055892	31.1100884
420	22.7057038	64.4056252	18.431143	36.0612794	59.5045918
423	3.8134338	27.2269812	2.5764602	6.4086726	22.7122638
424	4.1274122	66.8008888	3.2963512	10.9323938	66.2951004
425	2.8045064	30.163948	2.1980468	9.327106	33.5599564
426	4.31818	36.6663776	3.2870962	12.304834	64.0924698
427	3.6765518	69.1474356	2.426885	10.2490774	38.4948806
428	4.6682056	29.686713	3.7522624	6.6355236	32.971886
429	3.4096962	37.9988206	2.836162	10.600518	72.0984988
430	19.7497302	64.9123132	17.6150274	31.0354044	57.7210968
432	3.6428734	32.1393358	2.3778124	7.2338234	34.9940784
433	5.0131164	64.489525	4.466646	11.3476244	33.636344
434	3.9551872	29.572929	2.2381788	6.2676208	26.2389732
