Uniques	Duplicates	X1	M1	S1
390	175	215.2	19.282	17.4499756
390	185	221.9	20.696	19.1211564
390	19	112.6	16.622	13.3580772
390	195	230.2	21.536	16.6564516
390	29	118.5	15.338	20.521043
390	39	123.2	14.43	10.551819
390	48	129.3	17.224	11.1161644
390	58	133.9	14.58	9.82852
390	68	142.5	17.612	10.1310018
390	78	147.5	23.222	10.0169238
390	87	152.9	21.478	11.7604438
390	9	119.9	14.402	31.7741568
390	97	161.8	22.588	14.798109
400	10	124.1	12.89	36.6290412
400	100	168.2	17.32	16.6595284
400	110	174.7	17.506	16.4113028
400	120	182.4	19.166	17.4882136
400	130	188.8	20.418	17.9456048
400	140	198	19.39	17.1021188
400	150	205.9	22.976	18.094388
400	160	212.1	24.536	17.471244
400	170	220.4	27.194	14.3333914
400	180	228.6	26.15	18.288522
400	190	234.3	29.176	21.317648
400	20	117.9	14.358	11.738605
400	200	242.5	29.52	23.9018856
400	30	124.1	14.04	11.1535184
400	40	130	14.278	9.2318644
400	50	135.8	15.686	11.5346526
400	60	141.4	15.064	8.0094268
400	70	148.7	15.96	8.3338622
400	80	155.2	16.526	10.8581698
400	90	160.8	17.496	12.2080354
410	10	131.4	14.936	39.033498
410	102	178.9	20.058	16.9249592
